description,leader,team,status,fund
ByteDance is enabling people to discover and create a world of content powered by technology.,"
													Yiming ZHANG,													 Liang Rubo											",Ervin Tu,"
											Private
									",SVF1
"Cameo is connecting fans directly with their favorite pop culture icons via personalized video messages, live calls, and direct messages.","
													Steven Galanis											",Ervin Tu,"
											Private
									",SVF2
Coupang is transforming e-commerce end-to-end.,"
													Bom Kim											",Lydia Jett,"
											NYSE: CPNG
									",SVF1
Extend is providing extended warranties to help customers protect their purchases.,"
													Woodrow Levin											",Nagraj Kashyap,"
											Private
									",SVF2
Fanatics is changing the way fans purchase their favorite team apparel.,"
													Doug Mack											",Ron Fisher,"
											Private
									",SVF1
Fetch Rewards is making it easy and fun for shoppers to earn rewards on everyday purchases.,"
													Wes Schroll											",Munish Varma,"
											Private
									",SVF2
FirstCry is striving to build the world’s largest community and e-commerce platform for parents.,"
													Supam Maheshwari											",Munish Varma,"
											Private
									",SVF1
Flipkart is bringing more than 30 million products to Indian consumers via its e-commerce marketplace. | ACQUIRED,"
													Binny Bansal,													 Sachin Bansal											",Lydia Jett,"
											Acquired
									",SVF1
GetYourGuide is connecting travelers to incredible experiences wherever they are.,"
													Johannes Reck											",Jeff Housenbold,"
											Private
									",SVF1
"GoTo is providing e-commerce, financial, and on-demand services to consumers in Indonesia.","
													Andre Soelistyo											",Lydia Jett,"
											Private
									",SVF1
Grofers is delivering groceries and other essentials to their customers' doorsteps.,"
													Albinder Dhindsa											",Deep Nishar,"
											Private
									",SVF1
"InMobi is helping brands understand, identify, engage, and acquire consumers.","
													Naveen Tewari											",Munish Varma,"
											Private
									",SVF2
Jellysmack is using technology to identify and develop some of the world’s most talented video creators.,"
													Michael Philippe,													 Robin Sabban											",Yanni Pipilis,"
											Private
									",SVF2
"Keep is transforming fitness in China through its online training courses, connected fitness devices, and branded accessories.","
													Ning WANG											",Eric Chen,"
											Private
									",SVF2
Klook is connecting the best of what a destination has to offer with travelers worldwide.,"
													Ethan Lin											",Lydia Jett,"
											Private
									",SVF1
"Lenskart is giving millions of people access to quality, affordable eyewear online, in store and at home.","
													Peyush Bansal											",Munish Varma,"
											Private
									",SVF2
Manticore Games is creating a digital playground and community designed to unleash imagination and new play experiences.,"
													Frederic Descamps											",Ervin Tu,"
											Private
									",SVF2
Meesho is enabling small businesses to succeed online.,"
													Vidit Aatrey											",Munish Varma,"
											Private
									",SVF2
"Oda is optimizing e-grocery to champion service, affordability, and freshness for customers.","
													Karl Munthe-Kaas											",Munish Varma,"
											Private
									",SVF2
Ordermark is helping restaurants and virtual kitchens increase efficiency.,"
													Alex Canter											",Jeff Housenbold,"
											Private
									",SVF2
"Oyo is delivering predictable, affordable, and quality accommodation experiences to travelers around the world.","
													Ritesh Agarwal											",Munish Varma,"
											Private
									",SVF1
Perch is acquiring and operating top Amazon third-party and D2C brands at scale.,"
													Chris Bell											",Lydia Jett,"
											Private
									",SVF2
"Plenty is growing flavorful, healthy, and fresh produce through its vertical farming technology","
													Matt Barnard											",Jeff Housenbold,"
											Private
									",SVF1
Standard is transforming existing retail stores into checkout-free experiences by using computer vision and AI.,"
													Jordan Fisher											",Jeff Housenbold,"
											Private
									",SVF2
UPSIDE Foods is reimagining how meat is made by harvesting it from cells instead of animals.,"
													Uma Valeti											",Jeff Housenbold,"
											Private
									",SVF2
Whoop is unlocking human performance.,"
													Will Ahmed											",Jeff Housenbold,"
											Private
									",SVF2
